Column1,ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin,combined_text,Recommendations
197,100198,Electrical and Computer Eng.,Web Design,Basketball,Male,Robotics Engineer,Italy,Robotics Engineer Electrical and Computer Eng. Web Design Basketball,"['Introduction to Quantum Engineering', 'Compiler Construction', 'Introduction to Microelectronic Devices and Circuits', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
204,100205,AI,Writing,Chess,Male,AI Product Manager,Norway,AI Product Manager AI Writing Chess,"['Deep Learning Applications', 'Deep Reinforcement Learning Applications', 'Writing about Performance', 'AIPI Seminar', 'Product Management in High-Tech Companies']"
205,100206,Biomedical Engineering,Hiking,Wood Working,Female,Tissue Engineer,Canada,Tissue Engineer Biomedical Engineering Hiking Wood Working,"['Compiler Construction', 'Tropical Ecology', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
209,100210,AI,Reading,Writing,Female,AI Ethicist,Germany,AI Ethicist AI Reading Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Deep Reinforcement Learning Applications', 'Legal, Societal, and Ethical Implications of AI']"
211,100212,Biomedical Engineering,Drawing,Photography,Female,Rehabilitation Engineer,Japan,Rehabilitation Engineer Biomedical Engineering Drawing Photography,"['Writing about Performance', 'Compiler Construction', 'Advanced Computer Architecture I', 'Data Science', 'Biomedical Aspects of Blast and Ballistics (GE, BB)']"
212,100213,Environmental Engineering,Hiking,Gardening,Male,Water Resources Engineer,South Korea,Water Resources Engineer Environmental Engineering Hiking Gardening,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Environmental Analytical Chemistry', 'Deep-Sea Science and Environmental Management', 'Special Topics in Electrical and Computer Engineering']"
213,100214,Cybersecurity,Video Gaming,Chess,Male,Security Architect,Brazil,Security Architect Cybersecurity Video Gaming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
217,100218,Civil Engineering,Hiking,Mountain Biking,Male,Structural Designer,Italy,Structural Designer Civil Engineering Hiking Mountain Biking,"['Physical Chemical Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Environmental Transport Phenomena', 'Environmental Analytical Chemistry', 'Applied Biological Principles and Processes in Environmental Engineering']"
219,100220,AI,Chess,Writing,Male,Machine Learning Scientist,Mexico,Machine Learning Scientist AI Chess Writing,"['Deep Learning Applications', 'Writing about Performance', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
221,100222,Biomedical Engineering,Photography,Drawing,Male,Medical Device Researcher,South Africa,Medical Device Researcher Biomedical Engineering Photography Drawing,"['Using Real-Time Data to Improve Customer Quality Experience', 'Data Science', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Invention to Application: Healthcare Research Commercialization', 'Modeling Cellular and Molecular Systems']"
222,100223,Environmental Engineering,Gardening,Hiking,Female,Environmental Policy Advisor,Sweden,Environmental Policy Advisor Environmental Engineering Gardening Hiking,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Climate Tech Startups and Investors']"
223,100224,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Researcher,Netherlands,Cybersecurity Researcher Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Algorithmic Game Theory', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
225,100226,AI,Photography,Video Gaming,Male,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Photography Video Gaming,"['Deep Learning Applications', 'Writing about Performance', 'Operationalizing AI', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
226,100227,Biomedical Engineering,Cooking,Hiking,Female,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Cooking Hiking,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'History of Computing, Cryptography, and Robotic Devices']"
227,100228,Civil Engineering,Wood Working,Gardening,Male,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Wood Working Gardening,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Environmental Analytical Chemistry', 'Chemical Fate of Organic Compounds']"
228,100229,Climate and Sustainability Engineering,Mountain Biking,Backpacking,Female,Environmental Advocate,Australia,Environmental Advocate Climate and Sustainability Engineering Mountain Biking Backpacking,"['Global Change Biology: From Molecules to Organisms', 'Deep-Sea Science and Environmental Management', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Climate Tech Startups and Investors']"
230,100231,Cybersecurity,Chess,Soccer,Female,Cybersecurity Analyst,France,Cybersecurity Analyst Cybersecurity Chess Soccer,"['Advanced Computer Architecture I', 'Identity and Access Management', 'The Human Element in Cybersecurity', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
232,100233,Electrical and Computer Engineering,Running,Web Design,Female,Software Development,South Korea,Software Development Electrical and Computer Engineering Running Web Design,"['Modeling Process and Algorithms', 'Algorithmic Game Theory', 'Introduction to Algorithms', 'Graph Analysis with Matrix Computation', 'Design and Analysis of Algorithms']"
233,100234,Environmental Engineering,Beekeeping,Hiking,Male,Renewable Energy Engineer,Brazil,Renewable Energy Engineer Environmental Engineering Beekeeping Hiking,"['Resource & Environmental Economics I', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Marine Protected Area Monitoring and Management']"
236,100237,Biomedical Engineering,Entreprenuership,Running,Non-Binary,Transportation Engineer,France,Transportation Engineer Biomedical Engineering Entreprenuership Running,"['Computer Architecture', 'Data Science', 'Physical Chemical Processes in Environmental Engineering', 'Advanced Computer Architecture I', 'Special Topics in Electrical and Computer Engineering']"
237,100238,Environmental Engineering,Gardening,Shopping,Male,Water Resources Engineer,USA,Water Resources Engineer Environmental Engineering Gardening Shopping,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Environmental Analytical Chemistry']"
240,100241,Environmental Engineering,Music,Brewing,Non-Binary,Transportation Engineer,Japan,Transportation Engineer Environmental Engineering Music Brewing,"['Climate Tech Startups and Investors', 'Arts Activism & Everyday Technology', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Environmental Transport Phenomena']"
241,100242,Environmental Engineering,Archery,Wood Working,Female,Natural Language Processing Engineer,Belgium,Natural Language Processing Engineer Environmental Engineering Archery Wood Working,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering']"
243,100244,Cybersecurity,Shopping,Toy,Non-Binary,Clinical Engineer,Belgium,Clinical Engineer Cybersecurity Shopping Toy,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
244,100245,Photonics and Optical Sciences,Basketball,Metalworking,Non-Binary,Robotics Engineer,Canada,Robotics Engineer Photonics and Optical Sciences Basketball Metalworking,"['History of Computing, Cryptography, and Robotic Devices', 'Special Topics in Electrical and Computer Engineering', 'Introduction to Quantum Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Data Science']"
245,100246,Biomedical Engineering,Pottery,Hiking,Male,Environmental Advocacy,South Korea,Environmental Advocacy Biomedical Engineering Pottery Hiking,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Marine Protected Area Monitoring and Management']"
247,100248,Materials Science and Engineering,Hunting,Crochet,Female,Computer Vision Engineer,Australia,Computer Vision Engineer Materials Science and Engineering Hunting Crochet,"['History of Computing, Cryptography, and Robotic Devices', 'Introduction to Microelectronic Devices and Circuits', 'Advanced Computer Architecture I', 'Deep Learning Applications', 'Data Science']"
250,100251,Photonics and Optical Sciences,Glassblowing,Model Building,Female,Cybersecurity Analyst,Norway,Cybersecurity Analyst Photonics and Optical Sciences Glassblowing Model Building,"['Advanced Computer Architecture I', 'Operationalizing AI', 'Introduction to Cyber Policy', 'Data Science', 'Sourcing Data for Analytics']"
251,100252,Design and Technology Innovation,Photography,Toy,Female,AI/Machine Learning Engineer,Brazil,AI/Machine Learning Engineer Design and Technology Innovation Photography Toy,"['Engineering Management Seminar', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Advanced Computer Architecture I', 'Data Science']"
252,100253,Risk Engineering,Toy,Baseball,Female,Biomedical Device Engineer,Mexico,Biomedical Device Engineer Risk Engineering Toy Baseball,"['Advanced Computer Architecture I', 'Innovations in Drug Development', 'Data Science', 'Computer Architecture', 'Special Topics in Electrical and Computer Engineering']"
253,100254,Computational Mechanics and Scientific Computing,Drawing,Archery,Non-Binary,Clinical Psychology,China,Clinical Psychology Computational Mechanics and Scientific Computing Drawing Archery,"['Computer Architecture', 'Special Topics in Electrical and Computer Engineering', 'Fundamentals of Game Development', 'Writing about Performance', 'Data Science']"
254,100255,Financial Technology,Backpacking,Toy,Female,Geotechnical Engineer,Russia,Geotechnical Engineer Financial Technology Backpacking Toy,"['Introduction to Quantum Engineering', 'New Ventures Develop', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture', 'Data Science']"
255,100256,Mechanical Engineering,Running,Pottery,Non-Binary,Structural Engineer,Brazil,Structural Engineer Mechanical Engineering Running Pottery,"['AIPI Seminar', 'Architectural Engineering I', 'Data Science', 'Chemical Fate of Organic Compounds', 'Special Topics in Electrical and Computer Engineering']"
256,100257,Electrical and Computer Engineering,Scuba Diving,Shopping,Non-Binary,Biomedical Research,Netherlands,Biomedical Research Electrical and Computer Engineering Scuba Diving Shopping,"['Writing about Performance', 'AIPI Seminar', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Tropical Ecology', 'Data Science']"
257,100258,Civil Engineering,Web Design,Entreprenuership,Non-Binary,Clinical Psychology,Netherlands,Clinical Psychology Civil Engineering Web Design Entreprenuership,"['New Ventures Discover', 'AIPI Seminar', 'Introduction to Algorithms', 'Physical Chemical Processes in Environmental Engineering', 'Data Science']"
258,100259,Design and Technology Innovation,Pottery,Dance,Female,Climate Change Analyst,Netherlands,Climate Change Analyst Design and Technology Innovation Pottery Dance,"['Environmental Transport Phenomena', 'Designing Ethical Tech', 'Advanced Topics in Design and Technology Innovation', 'Arts Activism & Everyday Technology', 'Writing about Performance']"
259,100260,Medical Technology Design,Jewelry Design,Embroidery,Male,AI Ethics Specialist,South Korea,AI Ethics Specialist Medical Technology Design Jewelry Design Embroidery,"['Advanced Topics in Design and Technology Innovation', 'AIPI Seminar', 'Data Science', 'Computer Architecture', 'Invention to Application: Healthcare Research Commercialization']"
260,100261,Game Design Development and Innovation,Model Building,Wood Working,Male,Other,Belgium,Other Game Design Development and Innovation Model Building Wood Working,"['Interdisciplinary Introduction to Computer Science', 'AIPI Seminar', 'Algorithmic Game Theory', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
261,100262,AI,Weaving,Pottery,Male,Academia,Australia,Academia AI Weaving Pottery,"['Introduction to Quantum Engineering', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture', 'Data Science']"
262,100263,Materials Science and Engineering,Knitting,Dance,Male,Electrical Engineering,South Korea,Electrical Engineering Materials Science and Engineering Knitting Dance,"['Fundamentals of Digital Signal Processing', 'Special Topics in Electrical and Computer Engineering', 'Control of Dynamic Systems', 'Introduction to Microelectronic Devices and Circuits', 'Data Science']"
263,100264,Climate and Sustainability Engineering,Beekeeping,Writing,Non-Binary,Biomedical Research,India,Biomedical Research Climate and Sustainability Engineering Beekeeping Writing,"['AIPI Seminar', 'Modeling Cellular and Molecular Systems', 'Data Science', 'Tropical Ecology', 'Writing about Performance']"
264,100265,Computational Mechanics and Scientific Computing,Soccer,Drawing,Non-Binary,AI Ethics Specialist,Japan,AI Ethics Specialist Computational Mechanics and Scientific Computing Soccer Drawing,"['Introduction to Quantum Engineering', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Data Science']"
265,100266,Computational Mechanics and Scientific Computing,Pottery,Music,Non-Binary,Creative Writing,Japan,Creative Writing Computational Mechanics and Scientific Computing Pottery Music,"['Introduction to Quantum Engineering', 'AIPI Seminar', 'Fundamentals of Game Development', 'Data Science', 'Writing about Performance']"
266,100267,Design and Technology Innovation,Model Building,Soccer,Male,Clinical Engineer,France,Clinical Engineer Design and Technology Innovation Model Building Soccer,"['Special Topics in Electrical and Computer Engineering', 'Invention to Application: Healthcare Research Commercialization', 'Designing Ethical Tech', 'AIPI Seminar', 'Advanced Topics in Design and Technology Innovation']"
267,100268,Computational Mechanics and Scientific Computing,Metalworking,Running,Non-Binary,Cryptographer,Spain,Cryptographer Computational Mechanics and Scientific Computing Metalworking Running,"['Introduction to Algorithms', 'Fundamentals of Game Development', 'Interdisciplinary Introduction to Computer Science', 'Advanced Computer Architecture I', 'Design and Analysis of Algorithms']"
268,100269,Medical Technology Design,Dance,Baseball,Non-Binary,Computational Fluid Dynamics Engineer,India,Computational Fluid Dynamics Engineer Medical Technology Design Dance Baseball,"['Biomedical Aspects of Blast and Ballistics (GE, BB)', 'AIPI Seminar', 'Writing about Performance', 'Data Science', 'Computer Architecture']"
269,100270,AI,Weaving,Web Design,Non-Binary,Computer Vision Engineer,Germany,Computer Vision Engineer AI Weaving Web Design,"['Deep Learning Applications', 'Advanced Computer Architecture I', 'Compiler Construction', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
270,100271,AI,Chess,Hiking,Female,Software Development,USA,Software Development AI Chess Hiking,"['Operationalizing AI', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering', 'Data Science', 'Computer Architecture']"
271,100272,Electrical and Computer Engineering,Scuba Diving,Embroidery,Male,Data Scientist,Germany,Data Scientist Electrical and Computer Engineering Scuba Diving Embroidery,"['Special Topics in Electrical and Computer Engineering', 'Compiler Construction', 'Introduction to Microelectronic Devices and Circuits', 'Advanced Computer Architecture I', 'Data Science']"
272,100273,Medical Technology Design,Digital Art,Hunting,Female,Computer Vision Engineer,Japan,Computer Vision Engineer Medical Technology Design Digital Art Hunting,"['Data Science', 'Advanced Computer Architecture I', 'Computer Architecture', 'Compiler Construction', 'Arts Policy, Leadership, and Engagement']"
273,100274,Photonics and Optical Sciences,Hunting,Digital Art,Male,Software Development,India,Software Development Photonics and Optical Sciences Hunting Digital Art,"['History of Computing, Cryptography, and Robotic Devices', 'AIPI Seminar', 'Introduction to Quantum Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Data Science']"
274,100275,AI,Pottery,Running,Male,User Experience (UX) Designer,China,User Experience (UX) Designer AI Pottery Running,"['Advanced Topics in Design and Technology Innovation', 'Optimization in Practice', 'Special Topics in Electrical and Computer Engineering', 'Interdisciplinary Introduction to Computer Science', 'AIPI Seminar']"
275,100276,Materials Science and Engineering,Chess,Photography,Non-Binary,Creative Writing,Denmark,Creative Writing Materials Science and Engineering Chess Photography,"['Introduction to Microelectronic Devices and Circuits', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Operations Management', 'Data Science']"
276,100277,Design and Technology Innovation,Knitting,Video Gaming,Non-Binary,Historical Research,China,Historical Research Design and Technology Innovation Knitting Video Gaming,"['Critical Analysis of Video Games', 'Designing Ethical Tech', 'AIPI Seminar', 'Data Science', 'Writing about Performance']"
277,100278,Photonics and Optical Sciences,Baseball,Writing,Male,Water Resources Engineer,China,Water Resources Engineer Photonics and Optical Sciences Baseball Writing,"['Special Topics in Electrical and Computer Engineering', 'Fields and Waves: Fundamentals of Information Propagation', 'Introduction to Signals and Systems', 'Advanced Computer Architecture I', 'Data Science']"
278,100279,Civil Engineering,Model Building,Cooking,Non-Binary,Sustainable Building Design Engineer,Canada,Sustainable Building Design Engineer Civil Engineering Model Building Cooking,"['Tropical Ecology', 'Advanced Topics in Design and Technology Innovation', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
279,100280,Civil Engineering,Judo,Backpacking,Male,Physics Research,Denmark,Physics Research Civil Engineering Judo Backpacking,"['Compiler Construction', 'Writing about Performance', 'Introduction to Quantum Engineering', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
280,100281,Materials Science and Engineering,Model Building,Jewelry Design,Non-Binary,Materials Engineer,Germany,Materials Engineer Materials Science and Engineering Model Building Jewelry Design,"['Special Topics in Electrical and Computer Engineering', 'Control of Dynamic Systems', 'Introduction to Robotics and Automation', 'Advanced Computer Architecture I', 'Data Science']"
281,100282,Risk Engineering,Computer Programming,Strategy Games,Female,Risk Analyst,China,Risk Analyst Risk Engineering Computer Programming Strategy Games,"['Marketing', 'Compiler Construction', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture', 'Data Science']"
282,100283,Design and Technology Innovation,Photography,Drawing,Non-Binary,User Experience (UX) Designer,Germany,User Experience (UX) Designer Design and Technology Innovation Photography Drawing,"['Fundamentals of Game Development', 'Writing about Performance', 'AIPI Seminar', 'Interdisciplinary Introduction to Computer Science', 'Advanced Topics in Design and Technology Innovation']"
283,100284,Civil Engineering,Model Building,Photography,Male,Transportation Engineer,Canada,Transportation Engineer Civil Engineering Model Building Photography,"['Environmental Analytical Chemistry', 'Tropical Ecology', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Special Topics in Electrical and Computer Engineering']"
284,100285,Climate and Sustainability Engineering,Beekeeping,Gardening,Male,Environmental Advocacy,India,Environmental Advocacy Climate and Sustainability Engineering Beekeeping Gardening,"['Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Special Topics in Electrical and Computer Engineering', 'AIPI Seminar', 'Writing about Performance', 'Tropical Ecology']"
285,100286,Photonics and Optical Sciences,Telescope Building,Photography,Male,Photonics Researcher,Spain,Photonics Researcher Photonics and Optical Sciences Telescope Building Photography,"['History of Computing, Cryptography, and Robotic Devices', 'Fundamentals of Digital Signal Processing', 'Introduction to Quantum Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Data Science']"
286,100287,Game Design Development and Innovation,Video Gaming,Computer Programming,Female,Software Development,Mexico,Software Development Game Design Development and Innovation Video Gaming Computer Programming,"['Design Thinking and Innovation', 'Critical Analysis of Video Games', 'Interdisciplinary Introduction to Computer Science', 'Fundamentals of Microelectronic Devices', 'Fundamentals of Game Development']"
287,100288,Materials Science and Engineering,Model Building,Pottery,Non-Binary,Product Design Engineer,Japan,Product Design Engineer Materials Science and Engineering Model Building Pottery,"['Fields and Waves: Fundamentals of Information Propagation', 'Engineering Management Seminar', 'Operations Management', 'Architectural Engineering I', 'Data Science']"
288,100289,Mechanical Engineering,Metalworking,Model Building,Male,Robotics Engineer,India,Robotics Engineer Mechanical Engineering Metalworking Model Building,"['Advanced Computer Architecture I', 'Compiler Construction', 'Marketing', 'Special Topics in Electrical and Computer Engineering', 'Introduction to Robotics and Automation']"
289,100290,Civil Engineering,Drawing,Photography,Male,Environmental Engineer,Canada,Environmental Engineer Civil Engineering Drawing Photography,"['Tropical Ecology', 'Writing about Performance', 'Deep-Sea Science and Environmental Management', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
290,100291,Civil Engineering,Photography,Drawing,Male,Structural Engineer,France,Structural Engineer Civil Engineering Photography Drawing,"['Computer Architecture', 'Environmental Transport Phenomena', 'Physical Chemical Processes in Environmental Engineering', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
291,100292,Cybersecurity,Computer Programming,Web Design,Female,Cybersecurity Analyst,China,Cybersecurity Analyst Cybersecurity Computer Programming Web Design,"['Compiler Construction', 'Computer Architecture', 'Special Topics in Electrical and Computer Engineering', 'Identity and Access Management', 'The Human Element in Cybersecurity']"
292,100293,Environmental Engineering,Hiking,Gardening,Male,Water Resources Engineer,South Korea,Water Resources Engineer Environmental Engineering Hiking Gardening,"['Writing about Performance', 'Tropical Ecology', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Global Change Biology: From Molecules to Organisms']"
293,100294,Materials Science and Engineering,Model Building,Jewelry Design,Male,Product Design Engineer,Belgium,Product Design Engineer Materials Science and Engineering Model Building Jewelry Design,"['Research and Technology Translation', 'New Ventures Develop', 'Compiler Construction', 'Advanced Computer Architecture I', 'New Ventures Deliver']"
294,100295,Electrical and Computer Engineering,Electronics,Computer Programming,Non-Binary,Robotics Engineer,Italy,Robotics Engineer Electrical and Computer Engineering Electronics Computer Programming,"['Advanced Computer Architecture I', 'Signals and Systems - Lab', 'Control of Dynamic Systems', 'Introduction to Microelectronic Devices and Circuits', 'Data Science']"
295,100296,Medical Technology Design,Knitting,Model Building,Male,Biomedical Device Engineer,UK,Biomedical Device Engineer Medical Technology Design Knitting Model Building,"['Commercializing Technology Innovations: Turning Visions into Value', 'Innovations in Drug Development', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Biomedical Aspects of Blast and Ballistics (GE, BB)']"
296,100297,AI,Digital Art,Video Gaming,Female,AI/Machine Learning Engineer,France,AI/Machine Learning Engineer AI Digital Art Video Gaming,"['Critical Analysis of Video Games', 'AIPI Seminar', 'Computer Architecture', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
297,100298,AI,Computer Programming,Digital Art,Female,Software Development,Sweden,Software Development AI Computer Programming Digital Art,"['Software Quality Management', 'Introduction to Algorithms', 'Computer Architecture', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
298,100299,Mechanical Engineering,Wood Working,Metalworking,Male,Product Design Engineer,Spain,Product Design Engineer Mechanical Engineering Wood Working Metalworking,"['Research and Technology Translation', 'Narrative Design', 'Marketing', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
299,100300,Environmental Engineering,Photography,Hiking,Non-Binary,Climate Change Analyst,Italy,Climate Change Analyst Environmental Engineering Photography Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Writing about Performance', 'Data Science', 'Tropical Ecology', 'Global Change Biology: From Molecules to Organisms']"
300,100301,AI,Photography,Cooking,Female,AI Ethics Specialist,United States,AI Ethics Specialist AI Photography Cooking,"['Introduction to Computer Vision', 'Computer Architecture', 'Data Science', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering']"
301,100302,Biomedical Engineering,Drawing,Hiking,Male,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Drawing Hiking,"['Modeling Cellular and Molecular Systems', 'Invention to Application: Healthcare Research Commercialization', 'Special Topics in Electrical and Computer Engineering', 'Data Science', 'Biomedical Aspects of Blast and Ballistics (GE, BB)']"
302,100303,Civil Engineering,Soccer,Wood Working,Female,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Soccer Wood Working,"['Physical Chemical Processes in Environmental Engineering', 'Chemical Fate of Organic Compounds', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Applied Biological Principles and Processes in Environmental Engineering']"
303,100304,Climate and Sustainability Engineering,Gardening,Backpacking,Male,Climate Change Analyst,Australia,Climate Change Analyst Climate and Sustainability Engineering Gardening Backpacking,"['Functional Ecology of Plants', 'Tropical Ecology', 'Data Science', 'AIPI Seminar', 'Writing about Performance']"
304,100305,Computational Mechanics and Scientific Computing,Video Gaming,Mountain Biking,Male,High-Performance Computing Specialist,Germany,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Video Gaming Mountain Biking,"['AIPI Seminar', 'Fundamentals of Game Development', 'Critical Analysis of Video Games', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
305,100306,Cybersecurity,Chess,Running,Female,Penetration Tester,France,Penetration Tester Cybersecurity Chess Running,"['Computer Architecture', 'The Human Element in Cybersecurity', 'Interdisciplinary Introduction to Computer Science', 'Sourcing Data for Analytics', 'AIPI Seminar']"
306,100307,Design and Technology Innovation,Knitting,Web Design,Male,Product Design Engineer,Japan,Product Design Engineer Design and Technology Innovation Knitting Web Design,"['New Ventures Discover', 'Interdisciplinary Introduction to Computer Science', 'Advanced Topics in Design and Technology Innovation', 'Data Science', 'AIPI Seminar']"
307,100308,Electrical and Computer Engineering,Music,Baseball,Male,Software Development,South Korea,Software Development Electrical and Computer Engineering Music Baseball,"['Graph Analysis with Matrix Computation', 'Compiler Construction', 'Special Topics in Electrical and Computer Engineering', 'Data Science', 'Introduction to Microelectronic Devices and Circuits']"
308,100309,Environmental Engineering,Beekeeping,Pottery,Female,Renewable Energy Engineer,Brazil,Renewable Energy Engineer Environmental Engineering Beekeeping Pottery,"['Physical Chemical Processes in Environmental Engineering', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
309,100310,Financial Technology,Shopping,Snowboarding,Female,Cryptographer,Mexico,Cryptographer Financial Technology Shopping Snowboarding,"['Algorithmic Game Theory', 'Data Science', 'Advanced Computer Architecture I', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
310,100311,Game Design Development and Innovation,Painting,Cooking,Male,Video Gaming,Spain,Video Gaming Game Design Development and Innovation Painting Cooking,"['Critical Analysis of Video Games', 'Special Topics in Electrical and Computer Engineering', 'Fundamentals of Game Development', 'Data Science', 'Writing about Performance']"
311,100312,Materials Science and Engineering,Writing,Embroidery,Female,Materials Science and Engineering,Italy,Materials Science and Engineering Materials Science and Engineering Writing Embroidery,"['Writing about Performance', 'Advanced Computer Architecture I', 'Introduction to Microelectronic Devices and Circuits', 'Special Topics in Electrical and Computer Engineering', 'Chemical Fate of Organic Compounds']"
312,100313,Mechanical Engineering,Basketball,Metalworking,Male,Mechanical Engineering,India,Mechanical Engineering Mechanical Engineering Basketball Metalworking,"['Chemical Fate of Organic Compounds', 'Physical Chemical Processes in Environmental Engineering', 'Introduction to Quantum Engineering', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
313,100314,Medical Technology Design,Sewing,Jewelry Design,Female,Biomedical Device Engineer,China,Biomedical Device Engineer Medical Technology Design Sewing Jewelry Design,"['Using Real-Time Data to Improve Customer Quality Experience', 'Data Science', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Invention to Application: Healthcare Research Commercialization', 'Modeling Cellular and Molecular Systems']"
314,100315,Photonics and Optical Sciences,Acting,Glassblowing,Female,Computer Vision Engineer,Russia,Computer Vision Engineer Photonics and Optical Sciences Acting Glassblowing,"['Signals and Systems - Lab', 'Introduction to Computer Vision', 'Introduction to Microelectronic Devices and Circuits', 'Advanced Computer Architecture I', 'Data Science']"
315,100316,Risk Engineering,Fishing,Writing,Male,Risk Engineering,Sweden,Risk Engineering Risk Engineering Fishing Writing,"['Cybersecurity Program Development, Operations & Analysis', 'Compiler Construction', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
316,100317,AI,Dancing,Music,Male,AI Ethics Specialist,United States,AI Ethics Specialist AI Dancing Music,"['Writing about Performance', 'Data Science', 'Computer Architecture', 'AIPI Seminar', 'Special Topics in Electrical and Computer Engineering']"
317,100318,Cybersecurity,Backpacking,Photography,Female,Security Consultant,Canada,Security Consultant Cybersecurity Backpacking Photography,"['Identity and Access Management', 'AIPI Seminar', 'Data Science', 'Introduction to Cybersecurity Perspectives', 'Special Topics in Electrical and Computer Engineering']"
